handle,name,posts,first_seen,last_seen,links_ratio,median_gap_min,digits_suffix_len,has_long_digits,burst10_max_posts,domain_variety,reply_bot_score_mean,score_proxy,reasons,is_suspect
odiadoratodo,odiadornato,1,2025-10-18 21:17:34+00:00,2025-10-18 21:17:34+00:00,1.0,0.0,0,False,0,1,0.0,1.5,zero_median_gap,False
pabloharour,Pablo Haro Urquízar,1,2025-10-16 07:45:00+00:00,2025-10-16 07:45:00+00:00,1.0,0.0,0,False,0,1,0.0,1.5,zero_median_gap,False
obnibium,jose perez,1,2025-10-18 11:11:20+00:00,2025-10-18 11:11:20+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
nakamonosatoshi,Satoshi Nakamono,1,2025-10-12 19:32:42+00:00,2025-10-12 19:32:42+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
wangtunfrito,Ciudadano Krítico,1,2025-10-14 20:24:03+00:00,2025-10-14 20:24:03+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
yowah2i,Yowah Esperance Bernstein,1,2025-10-19 14:54:52+00:00,2025-10-19 14:54:52+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
guillermorocaf1,Guillermo Rocafort,4,2025-10-13 13:40:19+00:00,2025-10-18 10:25:01+00:00,0.5,1125.4,1,False,0,1,0.2,0.7,low_domain_variety,False
betaniatv,Betania,5,2025-10-16 12:54:57+00:00,2025-10-16 16:20:01+00:00,0.0,26.108,0,False,0,0,0.0,0.7,low_domain_variety,False
ineslorenzo,InesLorenzo,2,2025-10-12 08:11:29+00:00,2025-10-18 08:23:50+00:00,1.0,8652.35,0,False,0,1,0.0,0.0,,False
generalwolf821,GeorgeOrwell1984,2,2025-10-14 12:09:25+00:00,2025-10-14 13:12:29+00:00,0.0,63.067,3,False,0,0,0.4,0.0,,False
lletrosergi,sergi garcia alvarez,2,2025-10-19 04:14:37+00:00,2025-10-19 22:40:32+00:00,0.0,1105.917,0,False,0,0,0.0,0.0,,False
laquefaltaba10,La que faltaba,2,2025-10-18 10:37:38+00:00,2025-10-18 11:29:11+00:00,0.5,51.55,2,False,0,1,0.2,0.0,,False
